State,stupop_2017
  Alabama ,"45,100"
  Alaska ,"7,940"
  Arizona ,"66,760"
  Arkansas ,"30,970"
  California ,"426,140"
  Colorado ,"56,300"
  Connecticut ,"36,440"
  Delaware ,"8,780"
  District of Columbia\3\ ,"3,820"
  Florida ,"173,290"
  Georgia ,"104,820"
  Hawaii ,"11,060"
  Idaho ,"18,940"
  Illinois ,"138,320"
  Indiana ,"68,200"
  Iowa ,"33,590"
  Kansas ,"33,610"
  Kentucky ,"44,380"
  Louisiana ,"42,120"
  Maine ,"12,340"
  Maryland ,"58,670"
  Massachusetts ,"66,880"
  Michigan ,"101,490"
  Minnesota ,"57,950"
  Mississippi ,"28,230"
  Missouri ,"61,250"
  Montana ,"9,300"
  Nebraska ,"22,150"
  Nevada ,"23,720"
  New Hampshire ,"13,340"
  New Jersey ,"96,510"
  New Mexico ,"19,520"
  New York ,"186,250"
  North Carolina ,"108,230"
  North Dakota ,"7,080"
  Ohio ,"120,010"
  Oklahoma ,"40,810"
  Oregon ,"35,100"
  Pennsylvania ,"120,760"
  Rhode Island ,"9,350"
  South Carolina ,"46,180"
  South Dakota ,"8,180"
  Tennessee ,"63,720"
  Texas ,"341,620"
  Utah ,"37,680"
  Vermont ,"5,810"
  Virginia ,"88,470"
  Washington ,"70,640"
  West Virginia ,"18,140"
  Wisconsin ,"61,230"
  Wyoming ,"5,870"